fraction,split_name,assay_id,assay_type,auroc,auprc,test_set_length,num_actives,num_inactives,n_train_compounds,n_valid_compounds_unused,n_test_compounds,n_train_labels,n_train_pos,n_train_neg,feature,model,constant_fallback
1%,K100,197_650,biochem,0.48098747236551215,0.07696370055845629,318,23,295,100,12844,3226,15,2,13,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,198_682,cell,0.319141689373297,0.0638814773416456,391,24,367,100,12844,3226,17,2,15,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,200_658,cell,,,9,2,7,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,217_689,bacterial,,,312,22,290,100,12844,3226,8,0,8,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,219_691,biochem,,,409,10,399,100,12844,3226,20,0,20,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,224_696,bacterial,,,482,27,455,100,12844,3226,21,0,21,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,228_700,biochem,,,172,20,152,100,12844,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,229_701,cell,0.4621337755666114,0.08531810373062322,715,67,648,100,12844,3226,27,2,25,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,232_704,cell,0.7425103305785125,0.3261505470992597,395,32,363,100,12844,3226,18,2,16,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,244_718,biochem,,,2613,17,2596,100,12844,3226,75,0,75,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,247_721,biochem,,,2538,37,2501,100,12844,3226,68,0,68,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,250_726,cell,,,387,5,382,100,12844,3226,15,0,15,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,259_737,biochem,,,1238,3,1235,100,12844,3226,46,0,46,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,268_746,biochem,0.44092296537125614,0.02741554662457282,2385,74,2311,100,12844,3226,63,1,62,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,269_747,cell,0.47576166976416884,0.05113708249622499,2981,157,2824,100,12844,3226,88,2,86,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,271_749,cell,0.4436018309762929,0.14607604455656176,338,51,287,100,12844,3226,13,2,11,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,281_760,cell,,,404,6,398,100,12844,3226,15,0,15,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,37_74,cell,,,11,2,9,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,42_104,cell,,,10,1,9,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,7_10,bacterial,,,11,1,10,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
