Plate,Well,Compound Name,Compound SMILES
24280,I5,DMSO,CS(=O)C
24280,I6,DMSO,CS(=O)C
24280,I21,DMSO,CS(=O)C
24280,I22,DMSO,CS(=O)C
24280,J5,DMSO,CS(=O)C
24280,J6,DMSO,CS(=O)C
24280,J21,DMSO,CS(=O)C
24280,J22,DMSO,CS(=O)C
24280,K7,DMSO,CS(=O)C
24280,K8,DMSO,CS(=O)C
24280,K15,DMSO,CS(=O)C
24280,K16,DMSO,CS(=O)C
24280,K23,DMSO,CS(=O)C
24280,K24,DMSO,CS(=O)C
24280,L7,DMSO,CS(=O)C
24280,L8,DMSO,CS(=O)C
24280,L15,DMSO,CS(=O)C
24280,L16,DMSO,CS(=O)C
24280,L23,DMSO,CS(=O)C
24280,L24,DMSO,CS(=O)C
24280,M9,DMSO,CS(=O)C
24280,M10,DMSO,CS(=O)C
24280,M13,DMSO,CS(=O)C
24280,M14,DMSO,CS(=O)C
24280,N9,DMSO,CS(=O)C
24280,N10,DMSO,CS(=O)C
24280,N13,DMSO,CS(=O)C
24280,N14,DMSO,CS(=O)C
24280,O11,DMSO,CS(=O)C
24280,O12,DMSO,CS(=O)C
24280,P11,DMSO,CS(=O)C
24280,P12,DMSO,CS(=O)C
24293,A13,DMSO,CS(=O)C
24293,A14,DMSO,CS(=O)C
24293,B13,DMSO,CS(=O)C
24293,B14,DMSO,CS(=O)C
24293,C11,DMSO,CS(=O)C
24293,C12,DMSO,CS(=O)C
24293,C15,DMSO,CS(=O)C
24293,C16,DMSO,CS(=O)C
24293,D11,DMSO,CS(=O)C
24293,D12,DMSO,CS(=O)C
24293,D15,DMSO,CS(=O)C
24293,D16,DMSO,CS(=O)C
24293,E1,DMSO,CS(=O)C
24293,E2,DMSO,CS(=O)C
24293,E9,DMSO,CS(=O)C
24293,E10,DMSO,CS(=O)C
24293,E17,DMSO,CS(=O)C
24293,E18,DMSO,CS(=O)C
24293,F1,DMSO,CS(=O)C
24293,F2,DMSO,CS(=O)C
24293,F9,DMSO,CS(=O)C
24293,F10,DMSO,CS(=O)C
24293,F17,DMSO,CS(=O)C
24293,F18,DMSO,CS(=O)C
24293,G3,DMSO,CS(=O)C
24293,G4,DMSO,CS(=O)C
24293,G19,DMSO,CS(=O)C
24293,G20,DMSO,CS(=O)C
24293,H3,DMSO,CS(=O)C
24293,H4,DMSO,CS(=O)C
24293,H19,DMSO,CS(=O)C
24293,H20,DMSO,CS(=O)C
24293,I5,DMSO,CS(=O)C
24293,I6,DMSO,CS(=O)C
24293,I21,DMSO,CS(=O)C
24293,I22,DMSO,CS(=O)C
24293,J5,DMSO,CS(=O)C
24293,J6,DMSO,CS(=O)C
24293,J21,DMSO,CS(=O)C
24293,J22,DMSO,CS(=O)C
