assay_id,assay_type,assay_name,nearest_train_assay_id,nearest_train_assay_type,nearest_train_assay_name,nearest_biolord_cosine,feature,threshold,direction,train_balanced_accuracy,train_binary_auroc,n_train_labels,n_train_pos,n_train_neg,test_set_length,num_actives,num_inactives,constant_fallback,auroc,auprc,balanced_accuracy,precision,recall,f1
16_27,cell,BetaCateninSignaling.FluorDye.PosNucW2_Int,15_26,cell,BetaCateninSignaling.FluorDye.PosCellsW2_Int,0.91075456,Cells_Number_Object_Number,-26.2578125,low_cell_count_active,0.8720238095238095,0.8720238095238095,62,6,56,62,13,49,False,0.7872841444270016,0.572952853598015,0.7872841444270016,0.8,0.6153846153846154,0.6956521739130435
169_545,cell,WntSignalling.Lumin.Lux-Duo,169_549,cell,WntSignalling.Lumin.Lux-Duo,0.8033702,Cells_Number_Object_Number,-26.580078125,low_cell_count_active,0.7893877551020408,0.789387755102041,74,25,49,74,6,68,False,0.7230392156862744,0.16737790422000948,0.7230392156862745,0.21052631578947367,0.6666666666666666,0.32
17_28,cell,BetaCateninSignaling.FluorDye.PosW2,12_23,cell,BetaCateninSignaling.FluorDye.InOutDiff,0.9173628,Cells_Number_Object_Number,-10.727644230769231,low_cell_count_active,0.8178571428571428,0.8178571428571428,62,20,42,51,1,50,False,0.76,0.04,0.76,0.04,1.0,0.07692307692307693
170_550,cell,WntSignalling.Lumin.Lux-FF/Ren,170_551,cell,WntSignalling.Lumin.Lux-FF/Ren,0.91540885,Cells_Number_Object_Number,6.039423076923077,high_cell_count_active,0.74,0.74,52,2,50,52,5,47,False,0.4787234042553192,0.09615384615384616,0.4787234042553192,0.0,0.0,0.0
175_559,cell,YeastGrowthInhibition.Absorb.600,118_432,yeast,PI3KinaseSignaling.Absorb.600,0.81604403,Cells_Number_Object_Number,-10.5234375,low_cell_count_active,0.8050632911392406,0.8050632911392406,89,10,79,31,1,30,False,0.7666666666666666,0.06666666666666667,0.7666666666666666,0.06666666666666667,1.0,0.125
178_684,cell,MITF,234_707,cell,MLPCN esBAF inhibitor,0.7361721,Cells_Number_Object_Number,-2.19921875,low_cell_count_active,0.5389171632298853,0.5389171632298854,15418,514,14904,953,68,885,False,0.6031904287138584,0.0907840643619598,0.6031904287138584,0.10138248847926268,0.6470588235294118,0.1752988047808765
180_686,fungal,AntifungalDrugResistance,179_659,fungal,AntifungalDrugResistance,0.82411397,Cells_Number_Object_Number,-2.77734375,low_cell_count_active,0.6650436193954149,0.6650436193954148,1652,9,1643,597,51,546,False,0.6288515406162465,0.11609289248194468,0.6288515406162465,0.13011152416356878,0.6862745098039216,0.21875000000000003
184_606,cell,STK33,187_619,cell,STK33invitro,0.7151815,Cells_Number_Object_Number,-6.0546875,low_cell_count_active,0.8239514348785872,0.8239514348785872,157,6,151,952,78,874,False,0.7018570674177081,0.15828711808262427,0.7018570674177081,0.20600858369098712,0.6153846153846154,0.3086816720257235
19_30,cell,BetaCateninSignaling.FluorDye.TotPos,15_26,cell,BetaCateninSignaling.FluorDye.PosCellsW2_Int,0.90688366,Cells_Number_Object_Number,-26.2578125,low_cell_count_active,0.8720238095238095,0.8720238095238095,62,6,56,51,10,41,False,0.8256097560975609,0.6032679738562091,0.8256097560975609,0.7777777777777778,0.7,0.7368421052631577
191_630,biochem,MLPCNRanGTPinhibitor,240_714,biochem,MLPCN AF4-AF9,0.6967586,Cells_Number_Object_Number,-2.666015625,low_cell_count_active,0.6172305483565481,0.6172305483565481,13430,529,12901,2764,46,2718,False,0.46595962504399013,0.01577206849767632,0.46595962504399013,0.013002364066193853,0.2391304347826087,0.02466367713004484
191_675,biochem,MLPCNRanGTPinhibitor,239_713,biochem,MLPCN ARNT/TACC3,0.6886109,Cells_Number_Object_Number,-6.788684475806452,low_cell_count_active,0.5435509751453228,0.5435509751453228,14194,182,14012,1072,9,1063,False,0.4487822723946901,0.007950016001862036,0.44878227239469004,0.0043859649122807015,0.1111111111111111,0.008438818565400843
197_648,biochem,LSD1,197_646,biochem,LSD1,0.923174,Cells_Number_Object_Number,1.48828125,low_cell_count_active,0.6017545462852966,0.6017545462852966,737,31,706,94,4,90,False,0.6388888888888888,0.057971014492753624,0.6388888888888888,0.057971014492753624,1.0,0.1095890410958904
197_649,biochem,LSD1,197_647,biochem,LSD1,0.8998806,Cells_Number_Object_Number,-3.85516826923077,low_cell_count_active,0.6158536585365854,0.6158536585365855,94,12,82,1830,208,1622,False,0.5329335815232856,0.12140278234080185,0.5329335815232856,0.13260530421216848,0.40865384615384615,0.20023557126030622
197_650,biochem,LSD1,197_646,biochem,LSD1,0.9187268,Cells_Number_Object_Number,1.48828125,low_cell_count_active,0.6017545462852966,0.6017545462852966,737,31,706,1830,90,1740,False,0.5369731800766283,0.0529765145061536,0.5369731800766283,0.05399239543726236,0.7888888888888889,0.101067615658363
198_682,cell,MLPCNBetaCellApoptosis,192_635,cell,BetaCellApoptosisScreen,0.7764752,Cells_Number_Object_Number,-26.580078125,low_cell_count_active,0.7622767857142857,0.7622767857142857,71,7,64,1781,122,1659,False,0.5353783140149606,0.11087138899152779,0.5353783140149606,0.6428571428571429,0.07377049180327869,0.1323529411764706
200_658,cell,LSC,216_687,biochem,MLPCN CDK5,0.5774834,Cells_Number_Object_Number,-6.21484375,high_cell_count_active,0.5612679808204581,0.5612679808204581,1900,23,1877,24,4,20,False,0.07500000000000001,0.16666666666666666,0.075,0.0,0.0,0.0
